Dataset,Mixture 1,Mixture 2,Experimental Values,augmentation_Action
Snitz 1,1,2,0.604166667,None
Snitz 1,1,3,0.651041667,None
Snitz 1,1,5,0.505208333,None
Snitz 1,1,6,0.411458333,None
Snitz 1,1,7,0.5625,None
Snitz 1,8,2,0.755208333,None
Snitz 1,8,3,0.684895833,None
Snitz 1,8,4,0.848958333,None
Snitz 1,8,5,0.765625,None
Snitz 1,8,6,0.807291667,None
Snitz 1,8,7,0.901041667,None
Snitz 1,9,2,0.567708333,None
Snitz 1,9,3,0.671875,None
Snitz 1,9,4,0.424479167,None
Snitz 1,9,5,0.390625,None
Snitz 1,9,6,0.447916667,None
Snitz 1,9,7,0.619791667,None
Snitz 1,10,2,0.567708333,None
Snitz 1,10,4,0.541666667,None
Snitz 1,10,5,0.369791667,None
Snitz 1,10,6,0.411458333,None
Snitz 1,10,7,0.458333333,None
Snitz 1,11,2,0.510416667,None
Snitz 1,11,3,0.713541667,None
Snitz 1,11,4,0.46875,None
Snitz 1,11,5,0.34375,None
Snitz 1,11,6,0.380208333,None
Snitz 1,11,7,0.552083333,None
Snitz 1,12,2,0.770833333,None
Snitz 1,12,3,0.765625,None
Snitz 1,12,4,0.697916667,None
Snitz 1,12,5,0.682291667,None
Snitz 1,12,6,0.630208333,None
Snitz 1,12,7,0.7109375,None
Snitz 1,13,14,0.754807692,None
Snitz 1,13,15,0.701923077,None
Snitz 1,13,16,0.706730769,None
Snitz 1,13,17,0.581730769,None
Snitz 1,13,18,0.567307692,None
Snitz 1,13,19,0.822115385,None
Snitz 1,20,14,0.711538462,None
Snitz 1,20,15,0.533653846,None
Snitz 1,20,17,0.774038462,None
Snitz 1,20,18,0.721153846,None
Snitz 1,20,19,0.533653846,None
Snitz 1,21,14,0.735576923,None
Snitz 1,21,15,0.711538462,None
Snitz 1,21,16,0.572115385,None
Snitz 1,21,17,0.514423077,None
Snitz 1,21,18,0.533653846,None
Snitz 1,21,19,0.682692308,None
Snitz 1,22,14,0.735576923,None
