Dataset,Mixture Label,CID_1,CID_2,CID_3,CID_4,CID_5,CID_6,CID_7,CID_8,CID_9,CID_10,CID_11,CID_12,CID_13,CID_14,CID_15,CID_16,CID_17,CID_18,CID_19,CID_20,CID_21,CID_22,CID_23,CID_24,CID_25,CID_26,CID_27,CID_28,CID_29,CID_30,CID_31,CID_32,CID_33,CID_34,CID_35,CID_36,CID_37,CID_38,CID_39,CID_40,CID_41,CID_42,CID_43
Snitz 1,1,6501,264,2879,7685,7731,326,7888,61138,8030,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,2,240,93009,323,8148,7762,3314,460,6184,798,6054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,3,7710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,4,31276,93009,11002,323,7966,8148,7632,22201,19310,7762,2758,3314,460,443158,20859,7059,999,6544,7770,10430,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,5,10890,93009,11002,6982,323,8797,7966,8148,7632,31252,19310,7762,3314,460,6184,8892,8103,12178,5281168,798,443158,20859,7059,91497,999,10821,6544,7770,7714,10430,,,,,,,,,,,,,
Snitz 1,6,7710,31276,10890,240,93009,11002,6982,323,8797,7966,8148,24915,7632,22201,31252,19310,7762,26331,2758,3314,460,8130,6184,8892,8103,12178,5281168,798,443158,20859,7059,62444,91497,999,10821,6054,6544,7770,7714,10430,,,
Snitz 1,7,93009,460,443158,6544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,8,5283349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,9,7410,6501,264,5281515,6259976,307,7685,326,5283349,7749,7363,7888,7119,8635,8918,6736,8030,5634,7921,1183,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,10,7410,6501,7600,7519,264,5281515,6259976,307,2879,7685,7731,326,5283349,7583,7749,7363,8129,7888,61016,8635,8918,957,7991,61138,6654,8118,6736,10722,1140,1183,,,,,,,,,,,,,
Snitz 1,11,7991,61138,6654,8118,6736,8030,6989,10722,1140,5634,7921,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,12,7731,7749,7888,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,13,22201,7749,460,61016,7119,61138,999,10821,6054,6544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,14,323,7762,7363,7888,16666,8635,7059,7991,6736,8030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,15,7059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,16,10890,7519,323,7583,7762,26331,8892,7888,443158,16666,8635,91497,8918,957,18827,8118,8030,6989,5634,10430,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,17,14286,31276,7600,7519,11002,6982,307,323,5283349,7762,26331,3314,7363,8892,8103,7888,443158,16666,8635,7059,91497,957,18827,7770,6736,8030,6989,10722,5634,10430,,,,,,,,,,,,,
