Dataset,Mixture 1,Mixture 2,Experimental Values
Snitz 1,1,2,0.604166666667
Snitz 1,1,3,0.6510416666670000
Snitz 1,1,4,0.526041666667
Snitz 1,1,5,0.505208333333
Snitz 1,1,6,0.41145833333300000
Snitz 1,1,7,0.5625
Snitz 1,8,2,0.7552083333330000
Snitz 1,8,3,0.6848958333330000
Snitz 1,8,4,0.8489583333330000
Snitz 1,8,5,0.765625
Snitz 1,8,6,0.8072916666670000
Snitz 1,8,7,0.9010416666670000
Snitz 1,9,2,0.567708333333
Snitz 1,9,3,0.671875
Snitz 1,9,4,0.42447916666700000
Snitz 1,9,5,0.390625
Snitz 1,9,6,0.44791666666700000
Snitz 1,9,7,0.619791666667
Snitz 1,10,2,0.567708333333
Snitz 1,10,3,0.6510416666670000
Snitz 1,10,4,0.541666666667
Snitz 1,10,5,0.36979166666700000
Snitz 1,10,6,0.41145833333300000
Snitz 1,10,7,0.45833333333300000
Snitz 1,11,2,0.510416666667
Snitz 1,11,3,0.7135416666670000
Snitz 1,11,4,0.46875
Snitz 1,11,5,0.34375
Snitz 1,11,6,0.38020833333300000
Snitz 1,11,7,0.552083333333
Snitz 1,12,2,0.7708333333330000
Snitz 1,12,3,0.765625
Snitz 1,12,4,0.6979166666670000
Snitz 1,12,5,0.6822916666670000
Snitz 1,12,6,0.630208333333
Snitz 1,12,7,0.7109375
Snitz 1,13,14,0.754807692308
Snitz 1,13,15,0.701923076923
Snitz 1,13,16,0.706730769231
Snitz 1,13,17,0.581730769231
Snitz 1,13,18,0.567307692308
Snitz 1,13,19,0.822115384615
Snitz 1,20,14,0.711538461538
Snitz 1,20,15,0.5336538461540000
Snitz 1,20,16,0.754807692308
Snitz 1,20,17,0.774038461538
Snitz 1,20,18,0.721153846154
Snitz 1,20,19,0.5336538461540000
Snitz 1,21,14,0.735576923077
Snitz 1,21,15,0.711538461538
Snitz 1,21,16,0.572115384615
Snitz 1,21,17,0.5144230769230000
Snitz 1,21,18,0.5336538461540000
Snitz 1,21,19,0.682692307692
Snitz 1,22,14,0.735576923077
Snitz 1,22,15,0.682692307692
Snitz 1,22,16,0.451923076923
Snitz 1,22,17,0.427884615385
Snitz 1,22,18,0.5
Snitz 1,22,19,0.793269230769
Snitz 1,23,14,0.754807692308
Snitz 1,23,15,0.673076923077
Snitz 1,23,16,0.5
Snitz 1,23,17,0.451923076923
Snitz 1,23,18,0.418269230769
Snitz 1,23,19,0.778846153846
Snitz 1,24,14,0.778846153846
Snitz 1,24,15,0.701923076923
Snitz 1,24,16,0.735576923077
Snitz 1,24,17,0.745192307692
Snitz 1,24,18,0.778846153846
Snitz 1,24,19,0.677884615385
Snitz 1,25,26,0.711538461538
Snitz 1,25,27,0.721153846154
Snitz 1,25,28,0.629807692308
Snitz 1,25,29,0.673076923077
Snitz 1,25,30,0.663461538462
Snitz 1,25,31,0.6105769230770000
Snitz 1,32,26,0.8125
Snitz 1,32,27,0.721153846154
Snitz 1,32,28,0.793269230769
Snitz 1,32,29,0.6105769230770000
Snitz 1,32,30,0.740384615385
Snitz 1,32,31,0.754807692308
Snitz 1,33,26,0.682692307692
Snitz 1,33,27,0.615384615385
Snitz 1,33,28,0.735576923077
Snitz 1,33,29,0.5336538461540000
Snitz 1,33,30,0.519230769231
